date,open,high,low,close,Volume USD
1646528400,2673.21,2673.21,2660.26,2662.58,48498.542706924
1646524800,2664.06,2675.07,2662.94,2675.07,143815.171132177
1646521200,2669.49,2669.5,2658.34,2666.4,649958.580095088
1646517600,2656.61,2671.84,2652.22,2671.22,194197.428373883
1646514000,2667.74,2669.78,2650.27,2653.4,271733.980421138
1646510400,2671.78,2682.33,2664.82,2668.26,267723.175582304
1646506800,2666.67,2674.5,2666.67,2671.47,329939.270173339
1646503200,2670.14,2671.02,2657.65,2668.44,232470.853394737
1646499600,2660.01,2675.2,2660.01,2670.14,720173.147201948
1646496000,2644.23,2686.64,2640.55,2660.25,478734.772381635
1646492400,2643.99,2649.68,2637.46,2643.59,374682.480516422
1646488800,2637.03,2655,2628.67,2643.26,333025.257616059
1646485200,2654.85,2654.85,2634.06,2637.87,230226.974239492
1646481600,2649.18,2672.29,2648.4,2657.36,462171.603611995
1646478000,2647.36,2656.98,2645.74,2649.06,357955.448789408
1646474400,2649.38,2653.96,2633.96,2648.84,253641.587033318
1646470800,2651.25,2659.24,2643.13,2649.85,275760.974371159
1646467200,2640.1,2656.4,2632.49,2651.7,929403.075045009
1646463600,2626.01,2644.25,2623.93,2638.29,326119.796858554
1646460000,2628.4,2634.37,2622.51,2626.11,414674.570685818
1646456400,2619.17,2628.57,2617.04,2624.71,281938.145377567
1646452800,2627.37,2629.02,2610.45,2618.62,442046.705411875
1646449200,2610.64,2631.8,2610.64,2626.18,829111.756625654
1646445600,2614.26,2621.79,2609.13,2612.07,403389.966116443
1646442000,2600.43,2618,2590,2614.42,3344618.08836242
